BIN	Q1_25	Q1_5	Q2	Q5	Q10	Q25	Q50	Q100	Q200	Q500
1079400	99	118	144	212	263	330	381	438	490	570
1079410	216	259	314	465	573	715	822	942	1050	1219
1079480	90	110	138	213	267	337	393	448	504	582
1079490	127	156	194	304	393	519	626	734	848	997
1079500	106	132	167	264	335	427	497	574	645	754
1079510	21	26	33	54	69	90	106	123	140	165
1079590	138	175	229	390	516	691	841	992	1153	1387
1079750	148	180	226	354	450	579	686	792	902	1060
1079760	25	32	43	76	104	146	182	223	267	336
1090031	1105	1351	1705	2753	3578	4739	5747	6772	7866	9470
1090032	1107	1354	1709	2762	3591	4758	5771	6801	7901	9514
1090062	304	378	485	807	1064	1425	1739	2061	2403	2907
1090070	307	381	490	817	1078	1446	1767	2094	2444	2959
1090080	573	710	909	1508	1990	2671	3267	3878	4532	5498
1090100	181	215	264	394	489	613	716	816	919	1065
1090200	211	272	362	647	883	1221	1519	1829	2163	2662
1090300	84	111	151	283	395	558	703	856	1021	1270
1090401	898	1053	1252	1793	2195	2744	3169	3658	4107	4809
1090402	898	1053	1252	1794	2196	2745	3170	3659	4108	4810
1090431	397	472	568	829	1017	1264	1452	1665	1859	2164
1090432	397	472	567	828	1016	1263	1451	1664	1858	2163
1090611	2057	2497	3114	4876	6184	7971	9473	10958	12530	14773
1090612	2058	2498	3115	4878	6187	7976	9480	10966	12540	14785
1090621	688	857	1102	1831	2399	3189	3865	4549	5277	6337
1090622	689	859	1103	1834	2402	3194	3871	4556	5286	6347
1090631	1577	1919	2400	3774	4795	6189	7360	8517	9742	11490
1090632	1577	1919	2399	3772	4793	6186	7356	8513	9737	11484
1090681	1190	1453	1824	2886	3678	4756	5662	6559	7507	8860
1090731	373	477	631	1111	1505	2067	2559	3068	3617	4433
1090760	104	135	183	334	460	639	796	959	1135	1397
1090770	113	145	193	342	461	628	772	919	1076	1307
1090780	50	64	84	142	188	251	304	357	413	495
1090840	42	56	77	148	209	297	377	461	552	690
1090850	51	67	92	175	245	348	439	536	640	798
1090860	602	709	854	1221	1462	1765	2004	2224	2452	2759
1090871	101	133	181	338	472	666	840	1023	1221	1521
1090880	4698	5636	6933	10585	13244	16869	19895	22866	26010	30462
1090890	1871	2286	2879	4625	5977	7868	9495	11139	12892	15443
1090900	321	407	536	935	1260	1725	2132	2553	3006	3679
1090910	239	303	386	605	753	951	1098	1247	1400	1605
1090930	235	295	382	643	849	1137	1385	1637	1905	2298
1090940	106	138	188	350	489	693	876	1070	1280	1600
1090950	49	64	88	165	231	327	412	503	601	749
1090980	1134	1367	1695	2628	3328	4286	5099	5905	6755	7976
1091000	72	92	122	212	286	389	479	570	668	813
1091151	74	93	122	213	293	414	522	647	787	1007
1091152	73	92	121	211	290	410	517	641	780	999
1091249	268	332	424	713	959	1326	1643	2012	2403	3014
1091280	5331	6726	8732	14894	20100	27810	34353	42298	49930	62195
1091290	6136	7721	9996	16958	22828	31508	38858	47840	56326	70045
1091340	649	804	1028	1722	2318	3210	3985	4907	5853	7360
1091350	152	190	245	420	570	795	993	1220	1469	1857
1091459	39	49	63	109	151	216	275	346	428	560
1091520	255	320	416	723	992	1404	1771	2197	2679	3437
1091530	230	289	376	653	897	1271	1604	1992	2433	3127
1091562	116	144	185	317	432	606	760	938	1137	1448
1091570	61	77	101	177	244	345	436	539	658	843
1091580	84	105	135	229	310	431	537	657	792	998
1091660	30028	35368	42110	60189	73363	89896	103430	117456	132016	151534
1091680	28387	33383	39650	56288	68293	83389	95658	108370	121510	139078
1091700	8837	10269	11979	16128	18789	22147	24580	27065	29435	32448
1091730	279	331	403	600	745	940	1104	1265	1432	1670
1091781	602	698	831	1180	1430	1759	2034	2297	2569	2952
1091782	625	725	862	1225	1483	1824	2109	2382	2664	3061
1091819	352	420	517	786	985	1253	1480	1702	1933	2265
1091820	482	586	734	1163	1493	1947	2336	2726	3138	3735
1091851	476	580	729	1161	1495	1956	2351	2749	3169	3779
1092122	3222	3747	4461	6364	7699	9481	10955	12368	13845	15904
1092161	1902	2218	2648	3787	4580	5631	6496	7322	8182	9378
1092230	175	221	288	492	657	891	1095	1304	1528	1859
1092240	202	255	332	567	758	1028	1264	1506	1766	2150
1092659	206	249	310	496	653	882	1077	1301	1528	1879
1092700	191	229	283	450	592	802	982	1198	1409	1747
1092761	462	551	677	1061	1386	1866	2275	2772	3240	3996
1092780	113	137	172	277	367	499	612	739	876	1082
1093060	370	444	549	864	1126	1505	1823	2207	2554	3113
1093360	1112	1307	1559	2221	2682	3295	3749	4211	4711	5358
1093459	901	1065	1279	1843	2238	2766	3158	3560	3991	4555
1093580	120	143	171	238	279	329	365	398	433	475
1093590	153	189	233	349	426	526	600	673	749	847
1093600	101	116	135	181	210	246	271	294	319	349
1093610	158	177	202	260	298	343	374	404	436	472
1093620	150	171	196	258	297	345	378	409	443	482
1093730	289	359	451	716	915	1183	1394	1615	1842	2152
1093750	130	162	209	348	459	614	748	885	1030	1243
1093760	87	108	136	217	277	360	426	495	567	666
1093770	87	102	121	169	200	238	266	292	319	352
1093781	77	91	108	150	177	211	234	257	280	308
1093790	118	138	164	228	270	321	357	392	429	474
1094030	269	326	399	590	722	893	1024	1160	1295	1476
1094040	189	237	309	516	691	948	1177	1418	1685	2051
1094061	170	214	272	447	581	761	904	1053	1207	1418
1094062	0	0	0	0	0	0	0	0	0	0
1094090	220	266	327	494	616	777	900	1039	1166	1363
1094100	203	243	294	434	535	667	767	878	981	1139
1094120	821	996	1218	1818	2245	2808	3243	3693	4147	4754
1094170	9689	11256	13114	17600	20423	23940	26452	29014	31431	34496
1094240	142	174	217	338	430	557	656	768	876	1041
1094280	9428	10695	12214	16260	19121	22910	25738	29062	31882	36426
1094292	2475	2970	3582	5199	6321	7780	8888	10029	11166	12666
1094351	8400	9771	11385	15257	17679	20690	22848	25050	27130	29781
1094352	8405	9777	11392	15267	17690	20703	22862	25065	27147	29800
1094510	121	150	187	291	367	466	544	624	706	817
1094520	140	172	217	345	452	603	732	864	1006	1194
1094530	69	91	124	227	318	461	593	740	908	1151
1094540	188	231	285	432	537	674	780	891	1002	1153
1094610	252	299	360	526	647	808	931	1070	1197	1394
1094620	378	450	543	794	971	1200	1370	1560	1730	1996
1094630	2939	3390	3952	5462	6562	8030	9152	10453	11610	13461
1094641	618	753	930	1425	1798	2314	2718	3182	3620	4300
1094642	499	608	751	1151	1454	1871	2200	2576	2931	3484
1094660	130	157	191	284	350	437	502	575	641	743
1094681	143	173	212	320	398	500	578	665	746	870
1094700	69	89	119	213	290	399	494	592	698	854
1094710	90	110	138	217	276	358	422	494	563	669
1094720	233	271	318	445	534	648	733	829	913	1045
1094920	211	262	328	515	653	839	987	1141	1300	1517
1094972	1113	1344	1633	2400	2939	3643	4185	4745	5307	6056
1095060	204	253	316	497	629	804	942	1085	1230	1428
1095160	483	597	762	1247	1624	2144	2590	3039	3515	4207
1095220	217	267	330	505	629	792	917	1047	1178	1354
1095269	7077	8231	9590	12836	14860	17373	19177	21018	22755	24971
1095350	236	297	379	624	811	1066	1269	1481	1700	2001
1095410	134	170	218	363	476	630	753	882	1017	1203
1095450	141	180	237	416	569	796	992	1211	1455	1824
1095520	127	162	215	383	523	726	906	1095	1298	1604
1095530	152	194	256	453	617	852	1061	1279	1513	1865
1095650	124	157	205	353	472	638	782	929	1085	1316
1095770	117	140	171	256	317	399	460	529	592	688
1095790	247	300	369	560	699	885	1027	1187	1334	1563
1095870	129	154	188	279	344	430	494	566	631	732
1096040	450	547	674	1022	1270	1591	1831	2100	2339	2711
